brine_in_p,brine_in_t,brine_out_q,R134aPumpSpeed,AmbientTemp,gross,net
880.460504656,420.094444444444,0.171226794558067,919.0,279.5944444444445,9660.243489278158,8434.49835410227
882.52893184,420.094444444444,0.171037523967177,919.0,278.3722222222222,9870.367460528327,8637.057467818659
884.597359024,420.094444444444,0.170785163179324,919.0,277.15,10077.117198553959,8836.590393397662
886.665786208,420.094444444444,0.170722072982361,919.0,274.09444444444443,10602.73683713425,9345.685627624978
888.734213392,420.094444444444,0.170658982785398,920.0,270.8722222222222,10781.453059363219,9516.247802385047
890.113164848,420.094444444444,0.170658982785398,921.0,269.3722222222222,10788.128483229835,9519.860067885154
890.802640576,420.094444444444,0.170595892588435,924.0,268.2055555555556,10805.788137807953,9528.30282633067
890.802640576,420.094444444444,0.170722072982361,924.0,267.48333333333335,10810.138353004106,9532.653041526824
891.492116304,420.038888888889,0.170658982785398,924.0,266.2055555555555,10802.303761946789,9524.818450469507
891.492116304,420.038888888889,0.170658982785398,924.0,265.09444444444443,10802.303761946789,9524.818450469507
888.734213392,420.094444444444,0.170532802391472,925.0,264.2611111111111,10810.144823066596,9529.578062586392
888.734213392,420.094444444444,0.170722072982361,925.0,264.2055555555555,10816.692805255407,9536.126044775203
888.044737664,420.094444444444,0.170595892588435,926.0,263.3166666666667,10818.838276808005,9535.18548720444
888.044737664,420.094444444444,0.170785163179324,926.0,262.7611111111112,10825.400540807452,9541.747751203888
886.665786208,420.094444444444,0.170848253376288,928.0,262.0388888888889,10840.557988122695,9550.719387970883
885.97631048,420.094444444444,0.170785163179324,929.0,261.65000000000003,10844.792298755352,9551.85391120797
884.597359024,420.094444444444,0.170848253376288,929.0,261.65000000000003,10846.996033634878,9554.057646087496
883.907883296,420.094444444444,0.170911343573251,929.0,261.42777777777775,10849.197843527028,9556.259455979647
882.52893184,420.094444444444,0.170974433770214,929.0,266.8166666666667,10851.397732914118,9558.459345366737
881.839456112,420.094444444444,0.170658982785398,929.0,270.53888888888895,10840.379036074715,9547.440648527334
880.460504656,420.15,0.170785163179324,929.0,275.3722222222222,10457.00223824648,9175.926722430611
