Brine_p,brine_t,brinein_m1,pumpspeed,AmbientT,gross_p,pumpcost,brineout_T
126.9,298.79996,186.71945,1034.06,278.81668,9457.646,1218.1685,333.65674
126.9,298.79996,186.46838,1033.9286,276.70557,9847.655,1228.6395,332.18646
127.2,298.79996,186.71779,1037.4691,276.48334,9884.104,1229.6898,331.99734
127.0,298.9,186.72261,1037.4396,277.09445,9773.629,1226.7777,332.408
126.9,298.9,186.70956,1036.08,277.92776,9613.692,1222.6862,332.9914
127.0,298.79996,186.72838,1035.1312,278.15,9569.0205,1221.5717,333.15253
127.0,298.79996,186.72849,1035.5022,277.59445,9672.132,1224.3395,332.7363
127.0,298.79996,181.79935,980.2835,276.98334,9788.337,1227.3127,332.3337
126.9,298.9,186.72679,1038.1948,276.42776,9898.004,1229.9508,331.9515
126.9,298.9,186.72849,1039.5204,275.42776,10084.93,1234.544,331.2728
126.8,298.9,186.72539,1040.5258,274.53888,10253.849,1238.4595,330.6793
126.8,298.9,186.7204,1040.2554,274.70557,10217.407,1237.7373,330.77048
126.7,298.9,186.7285,1039.9752,274.87222,10183.617,1237.0095,330.87628
126.7,298.9,186.72847,1039.7797,275.03888,10152.457,1236.2764,330.9757
126.7,299.0,186.66164,1039.7878,275.20557,10127.476,1235.5376,331.1132
126.6,299.0,186.72849,1040.1798,275.37222,10091.109,1234.7933,331.23203
126.7,299.0,186.7285,1038.0846,277.09445,9762.134,1226.7777,332.4066
126.7,299.0,186.52606,1033.2305,279.03888,9406.704,1217.0142,333.76727
126.7,299.0,186.71518,1033.3977,280.59445,9112.154,1208.656,334.8315
126.7,299.0,185.57379,1060.9391,282.81668,8711.26,1195.8678,336.4089
126.7,299.0,186.34584,1027.5077,281.7611,8909.675,1202.0669,335.68213
126.7,299.0,179.73093,994.01495,283.09445,8672.628,1194.199,336.6245
126.7,299.0,172.0585,1060.999,281.53888,8949.838,1203.3431,335.51627
126.7,299.0,186.71031,1034.0555,280.03888,9220.584,1211.697,334.45923
126.7,299.0,186.47816,1034.8154,277.42776,9702.633,1225.1578,332.62473
126.7,298.9,186.72847,1039.0405,275.59445,10030.496,1233.7922,331.3515
126.7,298.9,186.7285,1040.3386,274.59445,10222.334,1238.2194,330.67334
126.7,298.9,186.6321,1040.4832,273.65,10384.939,1242.2178,330.0203
126.7,298.9,186.71863,1042.2971,273.0,10513.937,1244.8667,329.59747
126.7,298.9,186.72571,1042.379,273.0,10516.679,1244.8667,329.59656
126.7,298.9,186.7285,1042.4106,273.0,10513.937,1244.8667,329.59695
126.7,298.79996,186.7285,1041.446,273.0,10502.038,1244.8667,329.58453
126.8,298.79996,186.69394,1041.157,273.0,10493.791,1244.8667,329.54944
126.7,298.79996,186.7285,1041.4462,273.0,10496.542,1244.8667,329.58417
126.6,298.9,186.72418,1042.25,273.0,10511.192,1244.8667,329.61243
126.6,298.9,186.70543,1042.0134,273.0,10508.446,1244.8667,329.58804
126.7,298.9,186.7285,1042.428,273.0,10505.699,1244.8667,329.5806
126.7,298.9,186.72237,1042.3489,273.0,10500.199,1244.8667,329.5806
